file & heat
auto (151x151) & auto (2000) & None & None & onlyobj (50000) & [-0.0056229839, 0.0040444547] (47.03\%) & 1m0s & sdp+onlyobj-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (50000) & [-0.0057060653, 0.0040442334] (47.43\%) & 58.80s & sdp+onlyobj-z, 99.7% \\ \hline
None & None  & None & None & all order-2 (100000) & [-0.0088057404, 0.0054554435] (69.37\%) & 3.01s & all2-z, 95% \\ \hline
None & None  & None & None & all order-2 (100000) & [-0.0089010119, 0.0055507150] (70.30\%) & 2.50s & all2-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (100000) & [-0.0050290530, 0.0040498492] (44.16\%) & 1m0s & sdp+all2-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (100000) & [-0.0055397149, 0.0040476083] (46.64\%) & 58.54s & sdp+all2-z, 99.7% \\ \hline
None & None  & None & None & all order-3 (100000) & [-0.0097896885, 0.0063627928] (78.57\%) & 3.40s & all3-z, 95% \\ \hline
None & None  & None & None & all order-3 (100000) & [-0.0099909039, 0.0065640082] (80.53\%) & 4.06s & all3-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (100000) & [-0.0090574950, 0.0040503104] (63.76\%) & 1m0s & sdp+all3-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (100000) & [-0.0094717175, 0.0040489081] (65.77\%) & 57.51s & sdp+all3-z, 99.7% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085429740, 0.0049441236] (65.61\%) & 2.85s & auto100-z, 95% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085885533, 0.0049897029] (66.05\%) & 2.87s & auto100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0051202923, 0.0040470179] (44.59\%) & 1m0s & sdp+auto100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0055269188, 0.0040492958] (46.58\%) & 59.56s & sdp+auto100-z, 99.7% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085429740, 0.0049441236] (65.61\%) & 2.31s & auto200-z, 95% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085885533, 0.0049897029] (66.05\%) & 2.89s & auto200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0060666668, 0.0040482406] (49.20\%) & 1m2s & sdp+auto200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0065871121, 0.0040470511] (51.73\%) & 58.88s & sdp+auto200-z, 99.7% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085429740, 0.0049441236] (65.61\%) & 2.83s & first50-z, 95% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085885533, 0.0049897029] (66.05\%) & 2.36s & first50-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0038325897, 0.0040425254] (38.31\%) & 59.70s & sdp+first50-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0043546063, 0.0040464978] (40.87\%) & 1m3s & sdp+first50-z, 99.7% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085429740, 0.0049441236] (65.61\%) & 2.32s & first100-z, 95% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085885533, 0.0049897029] (66.05\%) & 2.29s & first100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0041475393, 0.0040487334] (39.87\%) & 1m7s & sdp+first100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0047740438, 0.0040468743] (42.91\%) & 1m0s & sdp+first100-z, 99.7% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085429740, 0.0049441236] (65.61\%) & 2.81s & first200-z, 95% \\ \hline
None & None  & None & None & auto (100000) & [-0.0085885533, 0.0049897029] (66.05\%) & 2.34s & first200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0060189415, 0.0040499928] (48.98\%) & 1m1s & sdp+first200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (100000) & [-0.0065467876, 0.0040497135] (51.55\%) & 59.65s & sdp+first200-z, 99.7% \\ \hline
None & None  & None & None & onlyobj (100000) & [-0.0083693238, 0.0047887319] (64.01\%) & 2.80s & onlyobj-z, 95% \\ \hline
None & None  & None & None & onlyobj (100000) & [-0.0083900118, 0.0048094199] (64.21\%) & 2.28s & onlyobj-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (100000) & [-0.0055115940, 0.0040420401] (46.47\%) & 1m0s & sdp+onlyobj-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (100000) & [-0.0055710208, 0.0040442710] (46.77\%) & 1m0s & sdp+onlyobj-z, 99.7% \\ \hline
None & None  & None & None & all order-2 (500000) & [-0.0085422710, 0.0050126559] (65.94\%) & 2.48s & all2-z, 95% \\ \hline
None & None  & None & None & all order-2 (500000) & [-0.0085848708, 0.0050552557] (66.35\%) & 2.48s & all2-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (500000) & [-0.0037200258, 0.0040400599] (37.75\%) & 1m3s & sdp+all2-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (500000) & [-0.0039661405, 0.0040452444] (38.97\%) & 1m0s & sdp+all2-z, 99.7% \\ \hline
None & None  & None & None & all order-3 (500000) & [-0.0088785411, 0.0055175528] (70.03\%) & 3.53s & all3-z, 95% \\ \hline
None & None  & None & None & all order-3 (500000) & [-0.0089682264, 0.0056072381] (70.90\%) & 4.0s & all3-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (500000) & [-0.0058390188, 0.0040499450] (48.10\%) & 1m0s & sdp+all3-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (500000) & [-0.0062885078, 0.0040502303] (50.29\%) & 1m2s & sdp+all3-z, 99.7% \\ \hline
None & None  & None & None & auto (500000) & [-0.0083971512, 0.0048116585] (64.25\%) & 2.91s & auto100-z, 95% \\ \hline
None & None  & None & None & auto (500000) & [-0.0084175324, 0.0048320396] (64.45\%) & 2.36s & auto100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0033992671, 0.0040046501] (36.02\%) & 57.86s & sdp+auto100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0036082757, 0.0040261108] (37.14\%) & 1m1s & sdp+auto100-z, 99.7% \\ \hline
None & None  & None & None & auto (500000) & [-0.0083971512, 0.0048116585] (64.25\%) & 2.30s & auto200-z, 95% \\ \hline
None & None  & None & None & auto (500000) & [-0.0084175324, 0.0048320396] (64.45\%) & 2.30s & auto200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0037359490, 0.0040448000] (37.85\%) & 1m0s & sdp+auto200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0040275016, 0.0040460119] (39.27\%) & 59.50s & sdp+auto200-z, 99.7% \\ \hline
None & None  & None & None & auto (500000) & [-0.0083971512, 0.0048116585] (64.25\%) & 2.32s & first50-z, 95% \\ \hline
None & None  & None & None & auto (500000) & [-0.0084175324, 0.0048320396] (64.45\%) & 2.92s & first50-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0017344089, 0.0039629469] (27.71\%) & 57.51s & sdp+first50-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0020809573, 0.0039867427] (29.52\%) & 58.54s & sdp+first50-z, 99.7% \\ \hline
None & None  & None & None & auto (500000) & [-0.0083971512, 0.0048116585] (64.25\%) & 2.80s & first100-z, 95% \\ \hline
None & None  & None & None & auto (500000) & [-0.0084175324, 0.0048320396] (64.45\%) & 2.31s & first100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0023770275, 0.0040192183] (31.11\%) & 58.0s & sdp+first100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0028411276, 0.0040342547] (33.44\%) & 57.49s & sdp+first100-z, 99.7% \\ \hline
None & None  & None & None & auto (500000) & [-0.0083971512, 0.0048116585] (64.25\%) & 2.81s & first200-z, 95% \\ \hline
None & None  & None & None & auto (500000) & [-0.0084175324, 0.0048320396] (64.45\%) & 2.35s & first200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0037042084, 0.0040450820] (37.70\%) & 1m2s & sdp+first200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (500000) & [-0.0041325181, 0.0040468352] (39.79\%) & 1m3s & sdp+first200-z, 99.7% \\ \hline
None & None  & None & None & onlyobj (500000) & [-0.0083219285, 0.0047397570] (63.54\%) & 2.31s & onlyobj-z, 95% \\ \hline
None & None  & None & None & onlyobj (500000) & [-0.0083311805, 0.0047490089] (63.63\%) & 2.82s & onlyobj-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (500000) & [-0.0053731014, 0.0040382877] (45.78\%) & 1m2s & sdp+onlyobj-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (500000) & [-0.0054004834, 0.0040390178] (45.92\%) & 1m0s & sdp+onlyobj-z, 99.7% \\ \hline
None & None  & None & None & all order-2 (1000000) & [-0.0084500298, 0.0049375946] (65.12\%) & 3.02s & all2-z, 95% \\ \hline
None & None  & None & None & all order-2 (1000000) & [-0.0084801525, 0.0049677172] (65.42\%) & 2.52s & all2-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (1000000) & [-0.0034209651, 0.0040140606] (36.17\%) & 59.39s & sdp+all2-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (1000000) & [-0.0036035357, 0.0040301413] (37.13\%) & 1m2s & sdp+all2-z, 99.7% \\ \hline
None & None  & None & None & all order-3 (1000000) & [-0.0087867496, 0.0051952532] (68.01\%) & 3.89s & all3-z, 95% \\ \hline
None & None  & None & None & all order-3 (1000000) & [-0.0088501402, 0.0052586438] (68.63\%) & 4.69s & all3-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (1000000) & [-0.0050606575, 0.0040474026] (44.31\%) & 1m1s & sdp+all3-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (1000000) & [-0.0054055436, 0.0040462817] (45.98\%) & 1m0s & sdp+all3-z, 99.7% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083510730, 0.0047918096] (63.93\%) & 2.63s & auto100-z, 95% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083654846, 0.0048062212] (64.07\%) & 2.35s & auto100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0031321906, 0.0039600580] (34.50\%) & 58.20s & sdp+auto100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0032824256, 0.0039824559] (35.34\%) & 1m1s & sdp+auto100-z, 99.7% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083510730, 0.0047918096] (63.93\%) & 2.73s & auto200-z, 95% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083654846, 0.0048062212] (64.07\%) & 2.88s & auto200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0036682917, 0.0039953642] (37.28\%) & 1m1s & sdp+auto200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0038778295, 0.0040217666] (38.43\%) & 1m1s & sdp+auto200-z, 99.7% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083510730, 0.0047918096] (63.93\%) & 2.81s & first50-z, 95% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083654846, 0.0048062212] (64.07\%) & 2.36s & first50-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0011283024, 0.0039134566] (24.53\%) & 59.89s & sdp+first50-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0014118791, 0.0039322087] (26.0\%) & 1m1s & sdp+first50-z, 99.7% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083510730, 0.0047918096] (63.93\%) & 2.71s & first100-z, 95% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083654846, 0.0048062212] (64.07\%) & 2.91s & first100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0017409252, 0.0039409571] (27.64\%) & 1m0s & sdp+first100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0021484206, 0.0039653279] (29.74\%) & 58.63s & sdp+first100-z, 99.7% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083510730, 0.0047918096] (63.93\%) & 3.13s & first200-z, 95% \\ \hline
None & None  & None & None & auto (1000000) & [-0.0083654846, 0.0048062212] (64.07\%) & 2.63s & first200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0028619621, 0.0039850824] (33.31\%) & 56.22s & sdp+first200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (1000000) & [-0.0032247314, 0.0040125112] (35.20\%) & 57.09s & sdp+first200-z, 99.7% \\ \hline
None & None  & None & None & onlyobj (1000000) & [-0.0083075354, 0.0047313147] (63.43\%) & 2.27s & onlyobj-z, 95% \\ \hline
None & None  & None & None & onlyobj (1000000) & [-0.0083140775, 0.0047378568] (63.49\%) & 2.85s & onlyobj-z, 99.7% \\ \hline
